Epoch 17/1000, Input: [-0.68111656], Target: [1.e+10], Output: [179.14813178374624]
Epoch 17/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [180.14813178374624]
Epoch 17/1000, Input: [-0.46296535], Target: [1048576.], Output: [181.14813178374624]
Epoch 17/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [182.14813178374624]
Epoch 17/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [183.14813178374624]
Epoch 17/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [184.14813178374624]
Epoch 17/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [185.14813178374624]
Epoch 17/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [186.14813178374624]
Epoch 17/1000, Input: [-0.53568242], Target: [60466176.], Output: [187.14813178374624]
Epoch 17/1000, Input: [-0.35388974], Target: [1.], Output: [188.14813178374624]
Epoch 17/1000, Input: [-0.2084556], Target: [59049.], Output: [188.11070215738948]
Epoch 18/1000, Input: [-0.24481414], Target: [1024.], Output: [189.11070215738948]
Epoch 18/1000, Input: [-0.28117267], Target: [1.], Output: [189.27768001695802]
Epoch 18/1000, Input: [-0.35388974], Target: [1.], Output: [189.24002448095462]
Epoch 18/1000, Input: [3.31832231], Target: [1.e+20], Output: [189.20237647605842]
Epoch 18/1000, Input: [-0.68111656], Target: [1.e+10], Output: [190.20237647605842]
Epoch 18/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [191.20237647605842]
Epoch 18/1000, Input: [-0.46296535], Target: [1048576.], Output: [192.20237647605842]
Epoch 18/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [193.20237647605842]
Epoch 18/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [194.20237647605842]
Epoch 18/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [195.20237647605842]
Epoch 18/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [196.20237647605842]
Epoch 18/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [197.20237647605842]
Epoch 18/1000, Input: [-0.53568242], Target: [60466176.], Output: [198.20237647605842]
Epoch 18/1000, Input: [-0.35388974], Target: [1.], Output: [199.20237647605842]
Epoch 18/1000, Input: [-0.2084556], Target: [59049.], Output: [199.1627360007632]
Epoch 19/1000, Input: [-0.24481414], Target: [1024.], Output: [200.1627360007632]
Epoch 19/1000, Input: [-0.28117267], Target: [1.], Output: [200.32750345356305]
Epoch 19/1000, Input: [-0.35388974], Target: [1.], Output: [200.28763795287233]
Epoch 19/1000, Input: [3.31832231], Target: [1.e+20], Output: [200.24778042528175]
Epoch 19/1000, Input: [-0.68111656], Target: [1.e+10], Output: [201.24778042528175]
Epoch 19/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [202.24778042528175]
Epoch 19/1000, Input: [-0.46296535], Target: [1048576.], Output: [203.24778042528175]
Epoch 19/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [204.24778042528175]
Epoch 19/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [205.24778042528175]
Epoch 19/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [206.24778042528175]
Epoch 19/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [207.24778042528175]
Epoch 19/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [208.24778042528175]
Epoch 19/1000, Input: [-0.53568242], Target: [60466176.], Output: [209.24778042528175]
Epoch 19/1000, Input: [-0.35388974], Target: [1.], Output: [210.24778042528175]
Epoch 19/1000, Input: [-0.2084556], Target: [59049.], Output: [210.2059308691967]
